artifacts_produced,audit_violations,cell,cnr_mean,cnr_n_prompts,corrected_mechanical_builder,corrected_mechanical_end_to_end,corrected_mechanical_exploiter,corrected_mechanical_fixer,cve_id,effective_pass_end_to_end,event_count,mech_builder,mech_end_to_end,mech_exploiter,mech_fixer,mechanical_pass,no_patch_produced,path,project,redundancy_hierarchy,redundancy_intra,redundancy_rate_total,redundancy_sibling,replicate,run_id,security_tool_adoption,security_tool_invocations,stratum,termination_reason,tool_calls_by_tool,tool_calls_total,total_cost_usd,wallclock_seconds,workspace_has_patch
[],0,A4,,0,False,False,False,False,njs.cve-2022-32414,False,645,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/njs.cve-2022-32414/A4/0,njs,0,127,0.3956386292834891,0,0,njs.cve-2022-32414-A4-0,True,8,EASY,budget_cap,"{""Bash"": 128, ""Read"": 105, ""Grep"": 81, ""Glob"": 1, ""Edit"": 4, ""Write"": 2}",321,13.218266550000008,3640.830657,True
[],6,A2,,0,False,False,False,False,njs.cve-2022-38890,False,597,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/njs.cve-2022-38890/A2/0,njs,0,106,0.3569023569023569,0,0,njs.cve-2022-38890-A2-0,True,14,EASY,budget_cap,"{""Bash"": 196, ""Grep"": 23, ""Read"": 73, ""Write"": 2, ""Edit"": 3}",297,13.120024700000004,4444.553658,False
[],0,A3,,0,False,False,False,False,faad2.cve-2021-32272,False,493,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/faad2.cve-2021-32272/A3/0,faad2,0,67,0.27346938775510204,0,0,faad2.cve-2021-32272-A3-0,False,0,EASY,completed,"{""Agent"": 1, ""Bash"": 166, ""Read"": 60, ""Grep"": 12, ""Edit"": 4, ""Write"": 2}",245,7.63953865,2348.344433,False
[],0,B2,1.0,1,,,,,faad2.cve-2021-32272,False,27,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",True,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/faad2.cve-2021-32272/B2/0,faad2,0,0,,0,0,faad2.cve-2021-32272-B2-0,False,0,EASY,completed,{},0,0.42421400000000004,76.631062,False
[],0,B1,0.6470092811402371,3,,,,,faad2.cve-2021-32272,False,119,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",True,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/faad2.cve-2021-32272/B1/0,faad2,0,0,0.0,0,0,faad2.cve-2021-32272-B1-0,False,0,EASY,completed,"{""Tool"": 16}",16,0.462007,304.416415,False
[],3,A3,,0,False,False,False,False,njs.cve-2022-32414,False,1017,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/njs.cve-2022-32414/A3/0,njs,0,211,0.4153543307086614,0,0,njs.cve-2022-32414-A3-0,False,0,EASY,wallclock_cap,"{""Agent"": 2, ""Bash"": 311, ""Glob"": 3, ""Read"": 154, ""Grep"": 19, ""ToolSearch"": 1, ""Write"": 5, ""Edit"": 13}",508,0.0,5400.279494,False
[],0,B2,1.0,1,,,,,faad2.cve-2018-20196,False,43,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",True,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/faad2.cve-2018-20196/B2/0,faad2,0,0,,0,0,faad2.cve-2018-20196-B2-0,False,0,EASY,completed,{},0,0.778477,95.2311,False
[],0,B1,1.0,1,,,,,faad2.cve-2018-20196,False,61,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",True,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/faad2.cve-2018-20196/B1/0,faad2,0,0,,0,0,faad2.cve-2018-20196-B1-0,False,0,EASY,completed,{},0,0.49467,100.865988,False
[],0,A2,,0,False,False,False,False,openjpeg.cve-2016-7445,False,67,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/openjpeg.cve-2016-7445/A2/0,openjpeg,0,7,0.21875,0,0,openjpeg.cve-2016-7445-A2-0,True,2,MEDIUM,completed,"{""Bash"": 20, ""Read"": 8, ""Write"": 1, ""Edit"": 3}",32,0.53513165,195.259383,False
[],0,B2,1.0,1,,,,,openjpeg.cve-2016-7445,False,28,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",True,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/openjpeg.cve-2016-7445/B2/0,openjpeg,0,0,,0,0,openjpeg.cve-2016-7445-B2-0,False,0,MEDIUM,completed,{},0,0.487646,78.393539,False
[],0,B1,0.6355755784188781,3,,,,,openjpeg.cve-2016-7445,False,166,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/openjpeg.cve-2016-7445/B1/0,openjpeg,0,0,0.0,0,0,openjpeg.cve-2016-7445-B1-0,False,0,MEDIUM,completed,"{""Tool"": 38}",38,0.46974499999999997,381.845675,True
[],3,A1,,0,False,False,False,False,faad2.cve-2021-32272,False,95,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/faad2.cve-2021-32272/A1/0,faad2,0,13,0.2826086956521739,0,0,faad2.cve-2021-32272-A1-0,True,2,EASY,completed,"{""Bash"": 25, ""Agent"": 1, ""WebSearch"": 4, ""WebFetch"": 3, ""Read"": 9, ""Write"": 1, ""Edit"": 3}",46,1.09881105,545.732386,False
[],0,B2,1.0,1,,,,,gpac.cve-2021-40575,False,28,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",True,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/gpac.cve-2021-40575/B2/0,gpac,0,0,,0,0,gpac.cve-2021-40575-B2-0,False,0,MEDIUM,completed,{},0,0.480403,81.090383,False
[],0,A1,,0,False,False,False,False,openjpeg.cve-2016-7445,False,159,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/openjpeg.cve-2016-7445/A1/0,openjpeg,0,23,0.2948717948717949,0,0,openjpeg.cve-2016-7445-A1-0,True,2,MEDIUM,completed,"{""Bash"": 47, ""Read"": 25, ""Write"": 1, ""Edit"": 5}",78,1.5203729,391.980326,False
[],3,A1,,0,False,False,False,False,faad2.cve-2018-20196,False,205,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/faad2.cve-2018-20196/A1/0,faad2,0,28,0.27722772277227725,0,0,faad2.cve-2018-20196-A1-0,True,8,EASY,completed,"{""Agent"": 1, ""Bash"": 74, ""Read"": 17, ""Grep"": 4, ""Write"": 4, ""Edit"": 1}",101,2.3889723999999997,971.831075,False
[],0,B1,0.6459657975497692,3,,,,,gpac.cve-2021-40575,False,182,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/gpac.cve-2021-40575/B1/0,gpac,0,0,0.0,0,0,gpac.cve-2021-40575-B1-0,False,0,MEDIUM,completed,"{""Tool"": 56}",56,0.463389,852.108126,True
[],0,A2,,0,False,False,False,False,gpac.cve-2021-40575,False,279,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/gpac.cve-2021-40575/A2/0,gpac,0,35,0.2536231884057971,0,0,gpac.cve-2021-40575-A2-0,True,3,MEDIUM,completed,"{""ToolSearch"": 1, ""Bash"": 100, ""Read"": 25, ""TodoWrite"": 5, ""Edit"": 4, ""Write"": 3}",138,3.257809549999999,1040.615051,False
[],1,A2,,0,False,False,False,False,faad2.cve-2018-20196,False,241,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/faad2.cve-2018-20196/A2/0,faad2,0,45,0.37815126050420167,0,0,faad2.cve-2018-20196-A2-0,True,7,EASY,completed,"{""Bash"": 82, ""Read"": 27, ""Grep"": 4, ""Write"": 2, ""Edit"": 4}",119,5.410622750000002,1852.544896,False
[],0,B1,0.6431946885053854,3,,,,,mruby.cve-2022-0240,False,222,True,False,True,False,"{'builder': True, 'exploiter': True, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/mruby.cve-2022-0240/B1/0,mruby,0,0,0.0,0,0,mruby.cve-2022-0240-B1-0,False,0,MEDIUM,completed,"{""Tool"": 75}",75,0.458332,930.219591,True
[],0,B2,1.0,1,,,,,mruby.cve-2022-0240,False,49,True,False,True,False,"{'builder': True, 'exploiter': True, 'fixer': False, 'end_to_end': False}",True,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/mruby.cve-2022-0240/B2/0,mruby,0,0,,0,0,mruby.cve-2022-0240-B2-0,False,0,MEDIUM,completed,{},0,0.710823,67.083485,False
[],0,B2,1.0,1,,,,,gpac.cve-2022-1795,False,51,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",True,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/gpac.cve-2022-1795/B2/0,gpac,0,0,,0,0,gpac.cve-2022-1795-B2-0,False,0,MEDIUM,completed,{},0,0.7582009999999999,102.666396,False
[],5,A1,,0,False,False,False,False,gpac.cve-2021-40575,False,441,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/gpac.cve-2021-40575/A1/0,gpac,0,80,0.365296803652968,0,0,gpac.cve-2021-40575-A1-0,True,13,MEDIUM,completed,"{""Agent"": 3, ""Bash"": 139, ""Read"": 53, ""Grep"": 14, ""Glob"": 2, ""ToolSearch"": 1, ""TodoWrite"": 2, ""Write"": 2, ""Edit"": 3}",219,5.578776799999998,2676.960342,False
[],5,A1,,0,True,False,True,False,mruby.cve-2022-0240,False,375,True,False,False,False,"{'builder': True, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/mruby.cve-2022-0240/A1/0,mruby,0,57,0.3064516129032258,0,0,mruby.cve-2022-0240-A1-0,True,12,MEDIUM,completed,"{""Bash"": 124, ""Read"": 40, ""Agent"": 2, ""Glob"": 4, ""Grep"": 6, ""Write"": 3, ""ToolSearch"": 1, ""WebSearch"": 3, ""Edit"": 3}",186,5.567921000000002,2024.121814,False
[],0,A2,,0,True,False,True,False,mruby.cve-2022-0240,False,357,True,False,False,False,"{'builder': True, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/mruby.cve-2022-0240/A2/0,mruby,0,57,0.3220338983050847,0,0,mruby.cve-2022-0240-A2-0,True,10,MEDIUM,completed,"{""Bash"": 116, ""Read"": 47, ""Write"": 11, ""Grep"": 2, ""Edit"": 1}",177,6.3202276999999984,2336.004203,False
[],0,B1,1.0,1,,,,,exiv2.cve-2017-14859,False,21,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/exiv2.cve-2017-14859/B1/0,exiv2,0,0,,0,0,exiv2.cve-2017-14859-B1-0,False,0,HARD,completed,{},0,0.10868,7.836834,True
[],0,B1,0.6489760621279473,3,,,,,gpac.cve-2022-1795,False,186,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/gpac.cve-2022-1795/B1/0,gpac,0,0,0.0,0,0,gpac.cve-2022-1795-B1-0,False,0,MEDIUM,completed,"{""Tool"": 58}",58,0.47886100000000004,763.553385,True
[],0,B2,1.0,1,,,,,exiv2.cve-2017-14859,False,28,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/exiv2.cve-2017-14859/B2/0,exiv2,0,0,,0,0,exiv2.cve-2017-14859-B2-0,False,0,HARD,completed,{},0,0.42122299999999996,50.610288,True
[],0,A2,,0,False,False,False,False,exiv2.cve-2017-14859,False,185,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/exiv2.cve-2017-14859/A2/0,exiv2,0,28,0.3076923076923077,0,0,exiv2.cve-2017-14859-A2-0,True,4,HARD,completed,"{""Bash"": 71, ""Read"": 14, ""Edit"": 4, ""Write"": 2}",91,1.8406601,629.923176,False
[],0,B2,1.0,1,,,,,imagemagick.cve-2019-13309,False,51,True,False,False,False,"{'builder': True, 'exploiter': False, 'fixer': False, 'end_to_end': False}",True,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/imagemagick.cve-2019-13309/B2/0,imagemagick,0,0,,0,0,imagemagick.cve-2019-13309-B2-0,False,0,HARD,completed,{},0,0.7784800000000001,104.055153,False
[],0,B1,0.5031983493508175,4,,,,,imagemagick.cve-2019-13309,False,238,True,False,False,False,"{'builder': True, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/imagemagick.cve-2019-13309/B1/0,imagemagick,0,0,0.0,0,0,imagemagick.cve-2019-13309-B1-0,False,0,HARD,completed,"{""Tool"": 74}",74,0.509931,1102.550089,True
[],5,A2,,0,False,False,False,False,gpac.cve-2022-1795,False,957,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/gpac.cve-2022-1795/A2/0,gpac,0,196,0.4109014675052411,0,0,gpac.cve-2022-1795-A2-0,True,29,MEDIUM,budget_cap,"{""Bash"": 302, ""Read"": 108, ""Write"": 11, ""Edit"": 10, ""Grep"": 46}",477,18.47275115000001,4299.886954,False
[],2,A1,,0,False,False,False,False,exiv2.cve-2017-14859,False,521,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/exiv2.cve-2017-14859/A1/0,exiv2,0,85,0.3281853281853282,0,0,exiv2.cve-2017-14859-A1-0,True,8,HARD,completed,"{""Agent"": 2, ""Bash"": 167, ""Glob"": 2, ""Read"": 75, ""Edit"": 6, ""Grep"": 7}",259,9.588318099999999,3137.268622,False
[],0,A2,,0,True,False,False,False,imagemagick.cve-2019-13309,False,273,True,False,False,False,"{'builder': True, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/imagemagick.cve-2019-13309/A2/0,imagemagick,0,32,0.23703703703703705,0,0,imagemagick.cve-2019-13309-A2-0,True,8,HARD,completed,"{""Bash"": 118, ""Read"": 8, ""Edit"": 9}",135,4.9184652,1748.221356,False
[],2,A1,,0,False,False,False,False,openjpeg.cve-2016-7445,False,271,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/openjpeg.cve-2016-7445/A1/1,openjpeg,0,50,0.373134328358209,0,1,openjpeg.cve-2016-7445-A1-1,True,3,MEDIUM,completed,"{""Agent"": 1, ""Bash"": 73, ""Read"": 48, ""ToolSearch"": 1, ""TodoWrite"": 6, ""Write"": 1, ""Edit"": 4}",134,3.9696944000000007,1160.897242,False
[],12,A1,,0,False,False,False,False,gpac.cve-2022-1795,False,746,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/gpac.cve-2022-1795/A1/0,gpac,0,178,0.4772117962466488,0,0,gpac.cve-2022-1795-A1-0,True,12,MEDIUM,wallclock_cap,"{""Agent"": 1, ""Bash"": 222, ""Read"": 122, ""Grep"": 12, ""Glob"": 5, ""ToolSearch"": 1, ""TodoWrite"": 2, ""Edit"": 6, ""Write"": 2}",373,0.0,5400.602354,False
[],6,A1,,0,False,False,False,False,openjpeg.cve-2016-7445,False,313,False,False,False,False,"{'builder': False, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/openjpeg.cve-2016-7445/A1/2,openjpeg,0,59,0.38064516129032255,0,2,openjpeg.cve-2016-7445-A1-2,True,3,MEDIUM,completed,"{""Agent"": 1, ""Bash"": 100, ""Read"": 48, ""Grep"": 1, ""Edit"": 5}",155,3.68787535,979.893666,False
[],15,A1,,0,True,False,False,False,imagemagick.cve-2019-13309,False,285,True,False,False,False,"{'builder': True, 'exploiter': False, 'fixer': False, 'end_to_end': False}",False,/Users/garfield/PycharmProjects/arise-sec-lion/dataset/runs/imagemagick.cve-2019-13309/A1/0,imagemagick,0,54,0.3829787234042553,0,0,imagemagick.cve-2019-13309-A1-0,True,3,HARD,wallclock_cap,"{""Agent"": 1, ""Bash"": 101, ""Grep"": 3, ""Read"": 23, ""WebSearch"": 3, ""WebFetch"": 2, ""ToolSearch"": 1, ""TodoWrite"": 5, ""Edit"": 2}",141,1.7621209000000002,5400.354282,False
